RMS_X,RMS_Y,RMS_Z,PP_X,PP_Y,PP_Z,KURTOSIS_X,KURTOSIS_Y,KURTOSIS_Z,F1_X,F1_Y,F1_Z,M1_X,M1_Y,M1_Z,F2_X,F2_Y,F2_Z,M2_X,M2_Y,M2_Z,F3_X,F3_Y,F3_Z,M3_X,M3_Y,M3_Z,F4_X,F4_Y,F4_Z,M4_X,M4_Y,M4_Z,F5_X,F5_Y,F5_Z,M5_X,M5_Y,M5_Z,F6_X,F6_Y,F6_Z,M6_X,M6_Y,M6_Z,F7_X,F7_Y,F7_Z,M7_X,M7_Y,M7_Z,F8_X,F8_Y,F8_Z,M8_X,M8_Y,M8_Z,Label
1.79,1.19,3.02,8.63,6.56,11.54,-0.91,-0.43,-1.29,28,119,28,-2.46,-9.08,2.66,57,139,57,-20.48,-16.21,-19.87,21,57,119,-22.44,-18.11,-21.37,318,133,51,-23.29,-19.03,-23.8,119,23,300,-25.03,-20.11,-24.2,345,126,22,-26.49,-21.29,-24.32,328,112,139,-26.52,-22.82,-24.34,40,98,34,-26.56,-23.46,-24.78,5
1.67,1.13,3.28,8.24,6.79,13.79,-0.99,-0.29,-1.29,28,119,28,-3.32,-11.45,3.15,57,21,24,-19.94,-16.48,-19.08,24,141,57,-23.85,-16.67,-19.27,318,57,141,-24.75,-16.94,-21.15,347,129,52,-25.58,-17.83,-23.31,321,132,119,-25.66,-18.36,-24.02,39,147,148,-26.08,-18.67,-24.14,119,28,45,-26.76,-18.84,-24.4,5
0.69,1.2,3.37,4.48,6.81,13.04,0.37,-0.49,-1.33,318,119,28,-5.99,-7.77,3.74,347,57,57,-9.61,-15.98,-17.06,119,28,141,-10.14,-18.95,-21.02,292,145,119,-10.91,-19.01,-21.25,333,21,86,-13.03,-19.17,-24.03,339,132,292,-13.99,-20.79,-24.53,261,150,299,-14.39,-25.67,-24.94,284,114,414,-14.48,-26.97,-25.04,5
0.66,1.12,0.74,4.04,6.18,5.04,0.21,-0.53,0.3,318,119,406,-5.78,-9.61,-7.08,322,57,101,-8.36,-16.19,-10.24,347,21,357,-8.75,-18.08,-10.84,351,132,385,-10.95,-18.23,-10.91,119,141,119,-11.11,-20.36,-13.65,294,28,294,-11.25,-20.41,-13.99,333,139,351,-13.16,-20.84,-14.66,290,148,112,-14.35,-21.36,-14.75,5
1.66,1.1,3.21,7.61,6.09,12.77,-1.1,-0.65,-1.33,28,119,28,-2.92,-8.59,3.04,57,133,119,-20.85,-17.47,-20.83,318,28,57,-23.79,-20.26,-20.84,119,148,24,-24.16,-20.37,-23.54,45,140,148,-25.41,-21.84,-23.55,292,21,52,-25.75,-22.55,-24.02,330,57,299,-25.85,-23.25,-25.47,351,127,294,-27.5,-23.39,-25.77,5
1.65,1.09,3.17,7.54,6.36,12.61,-1.09,-0.29,-1.25,28,119,28,-2.87,-10.13,3,57,147,57,-18.55,-16.86,-16.8,318,133,23,-22.02,-16.89,-17.82,321,57,147,-22.34,-19.6,-20.01,119,21,53,-25.29,-20.13,-21.3,350,28,32,-26.19,-20.68,-22.94,328,23,86,-27.02,-21.84,-23.26,291,139,119,-28.42,-22.07,-23.81,5
1.67,1.14,3.21,7.46,6.09,12.26,-1.22,-0.56,-1.33,28,119,28,-2.8,-9.47,3.12,57,21,57,-21.4,-13.51,-16.86,321,57,21,-22.49,-16.71,-17.72,119,131,299,-25.65,-18.74,-23.04,287,133,119,-26.06,-19.08,-23.08,292,148,34,-26.47,-20.01,-23.77,347,28,147,-26.82,-23.8,-24.22,261,126,131,-28.09,-24.14,-26,5
1.87,1.21,3.43,9.71,5.91,13.97,-0.81,-0.77,-1.3,28,119,28,-2.36,-8.1,3.73,39,57,21,-18.74,-14.81,-18.77,57,143,57,-20.49,-20.73,-19.06,47,139,32,-22.71,-21.73,-20.48,21,148,39,-23.08,-22.04,-20.72,316,23,119,-24.52,-22.13,-22.64,318,90,299,-24.54,-23.87,-23.76,290,27,52,-25.53,-24.76,-23.79,5
1.68,1.15,3.47,7.28,8.44,13.44,-1.19,0.15,-1.33,28,119,28,-2.79,-10.11,3.71,57,57,57,-18.43,-15.27,-16.25,321,132,22,-24.04,-16.9,-17.82,318,22,299,-25.8,-18.45,-23.46,119,28,118,-26.15,-20.91,-24.4,316,144,132,-27.34,-22.11,-24.59,47,24,86,-27.65,-25.08,-25.43,292,114,292,-27.87,-25.1,-25.93,5
0.68,1.11,3.29,4.16,5.9,12.96,-0.23,-0.57,-1.27,321,119,28,-8,-9.39,3.35,318,21,21,-8.29,-14.88,-14.73,343,57,57,-10.1,-18.57,-21.48,328,145,118,-10.59,-19.91,-22.29,325,132,141,-10.98,-20.11,-23.89,350,141,86,-12.47,-20.54,-24.02,297,28,405,-12.84,-23.79,-24.45,286,51,328,-14.2,-25.11,-25.77,5
1.66,1.16,3.11,7.22,5.83,13.44,-1.05,-0.6,-1.2,28,119,28,-3.47,-9.4,2.6,57,132,57,-17.76,-14.65,-18.28,318,21,23,-21.52,-17.5,-22.67,119,145,119,-23.79,-20.46,-23.36,350,57,405,-25.08,-21.71,-23.4,45,139,34,-26.53,-22.89,-23.71,23,31,299,-27.28,-22.92,-23.73,324,45,86,-27.36,-24.89,-23.95,5
1.61,1.14,3.07,7.24,6.63,11.52,-1.02,-0.4,-1.32,28,119,28,-3.36,-9.36,2.73,57,22,57,-18.09,-18.06,-17.91,318,132,141,-21.85,-18.22,-22.66,119,57,119,-24.78,-18.28,-23.24,21,141,21,-24.92,-19.03,-23.86,347,144,86,-25.63,-20.46,-24.15,290,27,405,-27.36,-22.12,-25.02,334,148,294,-28.25,-23.25,-25.36,5
1.82,1.19,3.26,9.75,6.3,14.74,-0.83,-0.74,-1.15,28,119,28,-2.51,-8.34,2.8,21,57,57,-18.42,-15.43,-15.45,57,28,22,-21.37,-22.25,-17.26,318,44,119,-22.46,-22.34,-18.58,119,135,35,-23.52,-22.47,-20.42,304,93,299,-26.29,-22.58,-23.44,47,39,61,-26.37,-23.09,-25.83,278,89,292,-26.44,-23.37,-25.97,5
1.66,1.04,3.1,6.72,6.47,12.82,-1.21,-0.18,-1.26,28,119,28,-2.96,-11.4,2.6,57,131,23,-20.2,-14.76,-17.97,318,21,57,-20.49,-16.62,-19.97,347,147,147,-25.08,-19.02,-22.22,336,57,131,-26.86,-19.23,-23.3,357,141,119,-26.89,-21.31,-25.08,119,28,405,-27.21,-22.23,-25.22,343,135,328,-28.35,-23.47,-25.75,5
0.72,1.12,3.24,4.54,6.01,13,0,-0.51,-1.29,320,119,28,-7.62,-8.69,2.97,119,57,57,-8.35,-17.14,-18.3,349,21,22,-8.91,-18.08,-21.4,131,141,145,-11.66,-20.07,-21.66,292,129,118,-13.19,-20.17,-22.73,336,148,141,-14.1,-21.42,-22.85,325,28,328,-14.51,-22.88,-24.14,287,114,86,-16.17,-25.68,-24.54,5
0.62,1.16,3.17,3.92,6.93,11.75,-0.1,-0.45,-1.29,318,119,28,-6,-8.71,3.05,351,133,57,-11.1,-16.08,-18.01,145,57,119,-12.7,-16.39,-22.15,347,144,24,-13.08,-18.65,-22.75,329,128,144,-13.35,-18.77,-22.87,336,28,148,-13.88,-23.69,-24.27,139,299,328,-14.35,-26.66,-24.59,119,26,53,-14.6,-26.69,-25.89,5
0.69,1.28,3.01,4.79,7.61,12.7,0.46,-0.31,-1.24,318,119,28,-6.38,-9.32,2.39,322,131,57,-7.79,-13.43,-16.83,347,141,141,-7.93,-15.6,-19.28,119,57,119,-11.44,-16.66,-21.32,261,21,52,-11.64,-16.67,-21.65,145,52,131,-11.71,-19.8,-22.96,351,135,145,-13.07,-20.04,-25.32,357,28,45,-13.2,-21.62,-25.49,5
0.68,1.12,3.23,4.74,6.04,12.47,0.24,-0.51,-1.29,318,119,28,-6.45,-9.88,3.11,330,21,21,-9.95,-16.62,-18.63,347,137,57,-10.38,-18.36,-19.02,292,131,119,-11.57,-18.38,-21.98,357,57,23,-12.97,-20.18,-22.2,337,148,299,-13.11,-22.3,-23.19,119,28,49,-14.12,-22.59,-23.55,290,141,405,-14.68,-22.93,-23.74,5
1.89,1.04,3.23,11.1,6.37,14.19,-0.5,-0.21,-1.12,28,119,28,-2.73,-9.79,3.07,57,57,57,-18.54,-16.47,-16.34,321,133,141,-22.71,-17,-23.56,119,21,412,-26.15,-19.09,-23.95,336,141,119,-26.17,-19.9,-24.03,292,144,292,-26.21,-20.72,-24.55,345,26,45,-26.61,-21.55,-25.38,324,28,299,-26.83,-22.44,-25.58,5
1.71,1.24,3.27,7.47,7.85,13.94,-1.14,-0.29,-1.24,28,119,28,-2.52,-8.98,3.4,57,131,57,-19.56,-12.39,-17.24,318,57,34,-22.38,-17.94,-22.58,321,28,129,-23.56,-18.69,-22.59,313,21,119,-24.58,-19.53,-23.39,119,139,328,-24.82,-19.81,-25.12,345,144,345,-25.59,-21.54,-25.94,325,148,148,-27.76,-22.04,-26.07,5
0.71,1.07,3.08,4.44,5.7,13.01,0,-0.62,-1.23,320,119,28,-4.83,-9.34,2.81,118,133,57,-10.14,-16.89,-17.22,345,57,21,-10.45,-17.99,-22.33,287,21,86,-10.7,-18.37,-23.68,316,145,119,-10.79,-20.45,-23.69,347,139,39,-11.55,-21.88,-24.88,329,28,133,-12.13,-23.15,-25.61,291,52,406,-12.49,-24.74,-26.73,5
1.66,1.19,3.04,7.11,6.35,12.85,-1.11,-0.46,-1.19,28,119,28,-3.41,-9.76,2.15,57,131,57,-17.9,-13.28,-17.77,336,137,129,-25.1,-16.56,-22.05,318,57,119,-25.29,-16.98,-22.87,321,22,148,-25.71,-17.99,-24.28,292,28,137,-26.16,-19.16,-24.41,315,148,86,-26.34,-21.62,-24.77,343,86,405,-26.41,-26.24,-25.17,5
0.6,1,3.37,4.65,5.42,14.04,0.75,-0.69,-1.27,318,119,28,-7.95,-10.14,3.43,321,21,23,-10.91,-18.57,-18.11,119,28,57,-11.19,-19.87,-19.22,325,57,328,-11.47,-21.01,-23.31,350,129,119,-11.76,-21.03,-23.63,345,24,86,-12.05,-22.57,-23.81,336,137,405,-12.66,-22.82,-24.43,292,143,42,-14.33,-23.06,-24.46,5
1.58,1.18,2.87,6.82,6.47,11.93,-1.07,-0.4,-1.21,28,119,28,-3.42,-9.39,2.28,57,21,57,-17.63,-10.87,-17.28,318,141,141,-21.88,-15.01,-18.81,119,131,145,-24.56,-16.34,-23.39,292,145,119,-26.11,-18.52,-23.86,347,57,131,-26.12,-18.76,-24.68,21,28,148,-26.23,-18.88,-25.06,345,61,328,-26.88,-22.39,-25.49,5
0.75,1.26,3.45,5.03,6.71,13.21,-0.19,-0.69,-1.3,318,119,28,-6.54,-7.66,3.66,321,21,57,-6.82,-14.62,-16.16,292,28,119,-10.32,-15.91,-20.97,118,57,357,-10.85,-16.91,-24.77,350,135,141,-11,-20.11,-25.08,328,145,40,-12.78,-20.86,-25.13,337,127,292,-14.82,-22.74,-25.98,128,148,148,-15.09,-25.3,-26.04,5
1.68,0.96,3.32,7.52,5.13,12.36,-1.2,-0.57,-1.3,28,119,28,-2.87,-11.65,3.36,57,57,57,-21.94,-17.42,-15.73,35,28,21,-24.53,-17.5,-16.56,315,139,43,-25.74,-19.57,-22.6,48,131,52,-26.02,-21.43,-23.14,345,135,86,-26.33,-22.43,-24.23,318,22,119,-27.15,-22.97,-25.29,119,35,139,-27.19,-23.03,-25.87,5
1.74,1.14,3.29,7.21,6.16,12.64,-1.17,-0.53,-1.31,28,119,28,-2.54,-9.03,3.23,57,57,57,-17.44,-17.26,-16.77,318,132,22,-20.4,-17.36,-21.14,119,22,52,-23.97,-18.92,-21.65,347,60,119,-26.37,-20.56,-21.98,52,135,86,-26.53,-20.83,-24.66,22,28,44,-27.62,-21.47,-24.8,294,144,132,-28.16,-21.76,-24.89,5
1.67,1.08,3.27,6.9,5.76,11.96,-1.19,-0.6,-1.37,28,119,28,-2.81,-9.07,3.28,57,21,57,-18.63,-14.7,-19.02,318,143,119,-22.51,-18.59,-23.09,119,57,21,-24.6,-20.23,-23.14,144,129,86,-27.67,-20.37,-24.97,328,132,143,-27.96,-21.96,-25.19,350,28,40,-28.29,-21.99,-25.41,341,135,294,-28.62,-24.24,-25.81,5
1.7,1.16,3.38,7.57,7.35,12.1,-1.12,-0.23,-1.34,28,119,28,-2.73,-9.93,3.44,57,57,57,-17.1,-16.24,-16.4,318,22,143,-21.49,-18.44,-20.93,119,143,86,-24.7,-19.1,-23.86,292,148,148,-24.99,-19.46,-23.91,350,131,44,-29.44,-20.04,-24.27,330,28,119,-29.88,-24.5,-24.39,357,87,131,-30.66,-25.66,-25.52,5
0.66,1.02,3.05,4.44,5.04,10.96,0.17,-0.59,-1.32,318,119,28,-3.98,-9.41,2.62,119,21,57,-11.14,-17.95,-17.19,347,57,119,-12.69,-18.47,-22.41,350,28,34,-13.14,-19.69,-22.8,336,135,141,-14.51,-20.93,-25.48,135,143,86,-14.74,-23,-25.54,261,137,145,-14.77,-23.35,-25.94,287,128,376,-14.81,-23.49,-26.34,5
0.74,0.93,0.84,4.85,5.99,5.62,0.15,-0.01,0.26,318,119,119,-6.3,-11.91,-6.31,347,22,406,-9.01,-15.16,-7.17,351,57,147,-10.92,-16.85,-9,292,135,115,-12.62,-18.35,-11.13,261,28,351,-14.45,-22.53,-11.73,119,143,128,-14.51,-23.61,-11.97,357,47,378,-14.54,-24.63,-12.03,287,126,431,-16.06,-26.17,-13.02,5
0.72,1.23,3.24,4.91,6.85,13.33,0.05,-0.39,-1.3,318,119,28,-5.1,-8.82,3.11,322,28,57,-10.2,-15.39,-16.09,347,133,23,-10.73,-16.04,-17.17,292,22,299,-12.21,-16.43,-22.4,351,60,141,-12.79,-18.4,-22.5,339,141,119,-13.39,-18.64,-22.77,119,147,147,-13.44,-20.59,-23.18,133,39,35,-13.47,-24.4,-25.16,5
0.77,1.11,3.34,4.53,6.02,13.55,-0.14,-0.66,-1.24,318,119,28,-4,-9.33,3.3,350,57,57,-8.98,-16.49,-15.74,119,28,23,-11.92,-19.26,-16.9,145,21,52,-12.67,-19.94,-19.76,328,52,144,-13.06,-22.43,-23.17,333,143,119,-13.32,-22.62,-24.06,107,127,405,-13.62,-23.11,-24.26,135,137,299,-13.75,-23.17,-24.56,5
1.67,1.11,3.04,6.79,5.69,12.21,-1.05,-0.51,-1.3,28,119,28,-3.2,-9.17,2.6,57,57,57,-15.43,-16.16,-16.67,318,133,119,-19.75,-18.09,-23.08,119,28,139,-24.28,-19.08,-23.14,292,139,23,-27,-20.51,-23.28,24,22,299,-27.81,-20.59,-24.97,347,144,405,-28.03,-22.08,-25.28,308,148,86,-28.22,-22.21,-25.39,5
1.76,1.07,3.34,8.07,6.72,12.57,-1.14,-0.15,-1.31,28,119,28,-2.68,-10.29,3.31,57,131,57,-16.64,-16.84,-16.76,318,21,24,-20.36,-18.17,-21.32,119,141,141,-26.69,-18.32,-23.9,345,57,119,-27.1,-18.38,-24.68,48,144,147,-27.8,-20.05,-24.77,292,26,299,-27.82,-22.79,-24.87,144,147,131,-28.47,-22.88,-25.06,5
1.66,1.09,3.17,7.41,7.58,12.95,-1.07,0.02,-1.27,28,119,28,-3.03,-9.97,2.96,57,131,22,-18.4,-14.84,-17.63,321,21,57,-21.88,-17.35,-19.06,119,57,147,-25.33,-18.44,-22.3,350,147,34,-26.28,-21.41,-22.6,45,140,328,-28.15,-22.29,-23.58,51,31,131,-28.73,-24.15,-24.69,313,114,119,-28.75,-25.08,-24.81,5
1.85,1.2,3.25,9.57,5.7,12.32,-0.88,-0.77,-1.32,28,119,28,-2.44,-7.33,2.95,57,57,57,-16.8,-17.35,-17.03,321,139,119,-21.99,-18.5,-20.51,119,30,22,-22.9,-21.14,-23.48,325,148,292,-25.64,-21.36,-23.53,292,126,147,-27.05,-24.13,-23.78,44,24,299,-27.16,-26.72,-23.97,296,350,86,-28.52,-26.84,-24.14,5
1.82,1.09,3.35,8.51,6.59,12.8,-1.07,-0.35,-1.3,28,119,28,-2.42,-9.64,3.35,57,21,57,-16.53,-13.55,-16.61,318,28,141,-23.65,-16.57,-22.65,321,57,55,-23.83,-17.17,-23.66,119,143,86,-25.29,-22.39,-23.69,350,133,119,-26.67,-22.79,-23.75,316,63,357,-26.84,-24.33,-24.52,292,51,39,-27.3,-24.38,-24.99,5
1.68,1.31,3.18,7.15,8.15,12.77,-1.11,-0.26,-1.25,28,119,28,-3.04,-8.5,2.85,57,131,57,-16.8,-14.1,-18.67,318,139,119,-21.32,-17.67,-22.6,322,57,139,-22.72,-18.74,-23,119,144,131,-24.01,-20.48,-24.7,47,22,328,-26.21,-21.16,-25.66,347,124,406,-26.59,-23.21,-25.67,299,149,299,-27.28,-25.52,-25.89,5
0.71,1.11,3.18,4.05,7.18,13.75,-0.12,-0.2,-1.11,322,119,28,-5.66,-9.57,2.59,318,28,57,-7.9,-15.45,-16.3,351,22,44,-9.69,-16.24,-22.85,294,57,143,-10.14,-17.21,-23.06,118,132,119,-10.68,-20.33,-23.65,132,143,299,-15.37,-22.05,-23.78,261,137,145,-15.46,-22.74,-24.8,336,112,385,-15.64,-23.85,-26.71,5
0.62,1.1,3.37,3.95,6.01,14.51,-0.08,-0.4,-1.25,321,119,28,-6.93,-9.72,3.19,318,57,57,-7.8,-16.54,-17.18,119,22,119,-9.67,-18.61,-23.42,347,139,35,-10.89,-18.64,-23.75,292,28,299,-10.96,-21.59,-25.2,357,132,23,-15.17,-22.4,-26.16,299,145,139,-15.21,-23.24,-26.33,328,114,53,-15.31,-24.76,-26.69,5
1.71,1.22,3.25,7.42,6.48,12.4,-1.15,-0.43,-1.26,28,119,28,-2.8,-8.81,2.61,57,57,57,-17.86,-13.39,-14.83,318,135,119,-21.78,-17.14,-20.91,321,21,147,-22.18,-18.2,-22.62,119,131,328,-24.43,-19.29,-24.9,287,140,351,-25.8,-19.77,-26.53,351,147,38,-26.14,-20.96,-26.96,328,28,135,-28.06,-21.62,-27.55,5
1.68,1.06,3.08,8.33,6.64,12.94,-0.98,-0.44,-1.22,28,119,28,-3.14,-11.3,2.72,57,57,57,-16.55,-14.19,-14.49,318,133,34,-24.23,-17.58,-22.32,321,28,52,-25.95,-21.83,-24.7,119,26,119,-26.96,-24.43,-25.03,287,144,43,-27.55,-25.59,-25.18,47,141,299,-28.2,-25.7,-25.5,345,148,147,-28.51,-27.71,-26.25,5
0.73,1.19,3.21,3.97,5.97,11.96,-0.4,-0.66,-1.28,318,119,28,-6.24,-8.01,3.1,119,21,57,-7.17,-15.53,-16.02,292,57,119,-9.31,-15.76,-20.4,351,131,141,-12.19,-17.9,-22.37,111,141,299,-14.34,-20.73,-23.78,261,61,148,-14.71,-22.55,-24.23,385,147,405,-15.95,-23.62,-24.51,287,28,86,-16.33,-24.27,-24.59,5
0.68,1.1,3.36,4.87,6.68,13.5,0.32,-0.36,-1.29,318,119,28,-7.24,-10.17,3.36,119,129,57,-9.97,-17.36,-18.6,347,144,22,-10.74,-18.46,-21.19,325,136,119,-12.16,-19.27,-23.97,261,21,299,-12.24,-21.1,-24.59,336,57,405,-12.63,-21.17,-24.68,357,28,400,-12.81,-23.02,-25.19,145,148,148,-13.12,-24.03,-25.35,5
1.76,1.16,3.32,7.62,6.59,12.71,-1.1,-0.48,-1.3,28,119,28,-2.58,-8.95,3.4,57,57,57,-17.27,-16.16,-19.71,318,21,141,-19.53,-16.22,-22.03,119,141,86,-24.68,-17.64,-24.07,24,132,405,-26.73,-21.29,-24.24,40,145,119,-27.2,-22.9,-24.57,48,114,299,-27.57,-25.01,-25.8,333,23,357,-27.81,-25.24,-26.46,5
1.72,0.99,3.25,7.26,5.43,12.82,-1.12,-0.46,-1.28,28,119,28,-2.77,-10.5,3.17,57,21,23,-15.96,-18.29,-17.99,318,57,57,-21.52,-19.25,-19.57,349,30,406,-22.55,-19.32,-22.42,119,144,119,-25.55,-21.79,-23.34,22,52,87,-28.37,-22.26,-24.14,145,128,42,-28.56,-23.35,-26.37,48,132,351,-29.13,-23.5,-26.67,5
1.69,1.08,3.32,7.08,6.13,11.92,-1.11,-0.51,-1.36,28,119,28,-2.77,-9.76,3.3,57,139,57,-16.22,-14.99,-18.11,320,144,22,-25.05,-18.61,-18.66,119,57,139,-25.43,-19.23,-20.21,324,21,119,-25.71,-19.54,-22.2,347,28,405,-26,-19.63,-24.06,292,52,143,-26.39,-22.54,-24.15,22,133,328,-26.61,-22.67,-24.88,5
1.71,1.36,3.24,7.04,6.9,11.54,-1.15,-0.68,-1.33,28,119,28,-2.58,-7.88,3.2,57,131,57,-17.02,-11.66,-17.09,318,141,141,-23.22,-16.83,-20.85,119,57,119,-24.02,-17.56,-22.13,321,21,131,-24.57,-18.84,-23.1,292,135,299,-25.77,-20.69,-23.98,51,114,45,-26.65,-23.25,-24.17,131,24,86,-26.77,-23.31,-25.67,5
1.68,1.08,3.16,7.47,6.63,13.19,-1.05,-0.34,-1.25,28,119,28,-3.23,-9.95,2.67,57,57,57,-15.4,-16.81,-15.37,318,143,23,-22.34,-18.69,-18.98,119,21,143,-25.37,-20.04,-21.77,21,133,299,-26,-21.04,-22.1,297,28,119,-26.35,-22.61,-22.27,313,124,39,-27.29,-23.37,-23.52,35,137,400,-27.32,-23.79,-24.11,5
1.67,1.1,2.98,7.18,5.75,12.77,-1.16,-0.59,-1.29,28,119,28,-2.85,-9.09,2.44,57,21,57,-16.91,-15.27,-15.95,318,57,145,-24.16,-17.99,-22.93,119,133,119,-24.97,-19.2,-23.03,292,141,405,-26.9,-20.63,-23.32,322,139,39,-27.5,-22.07,-23.42,342,28,328,-27.56,-22.51,-24.72,347,148,86,-27.58,-23.36,-25.25,5
0.76,1.14,2.83,4.91,6.21,11.06,0,-0.52,-1.2,318,119,28,-6.31,-9.63,1.95,119,21,57,-9.79,-11.8,-18.42,294,28,24,-11.81,-17.68,-20.55,351,129,119,-13.02,-17.83,-21.72,145,59,53,-13.29,-19.96,-22.95,287,135,299,-13.31,-20.45,-23.44,347,137,145,-14.19,-20.52,-23.5,307,144,405,-15.18,-22.23,-26.07,5
1.68,1.18,3.17,7.1,7.74,12.71,-1.08,-0.23,-1.25,28,119,28,-3.49,-10.45,2.95,57,21,57,-14.38,-12.79,-13.76,47,57,299,-20.12,-14.5,-22.72,318,129,119,-20.81,-18.2,-23.44,22,28,129,-22.05,-18.64,-25.32,39,26,34,-23.57,-19.71,-26.3,32,139,141,-24.1,-19.91,-26.42,347,141,139,-25.57,-20.57,-26.49,5
1.7,1.22,3.17,6.87,6.05,12.59,-1.19,-0.8,-1.27,28,119,28,-2.66,-7.83,3.07,57,131,57,-17.84,-17.03,-19.13,318,144,299,-20.97,-19.78,-22.62,119,57,119,-23.58,-20.26,-22.68,322,23,131,-25.83,-23.13,-25.66,292,28,405,-25.85,-23.38,-25.71,342,148,141,-25.93,-23.9,-25.78,329,137,32,-26.1,-24.93,-25.88,5
1.69,0.95,3.02,7.1,5.17,12.49,-1.17,-0.29,-1.22,28,119,28,-3.16,-11.22,2.09,57,21,57,-16.96,-18.69,-16.53,318,129,143,-22.41,-18.72,-22.92,292,28,299,-24.78,-18.83,-23.64,347,141,52,-25.21,-19.17,-23.97,119,52,44,-26.55,-21.07,-25.33,342,148,405,-27.11,-21.44,-26.95,311,57,66,-27.92,-21.79,-27.11,5
1.74,1.23,3.24,8.06,7.17,12.2,-1.04,-0.53,-1.3,28,119,28,-2.56,-8.08,3.24,57,57,57,-15.94,-15.41,-16.77,318,132,23,-22.65,-15.93,-19.15,119,135,119,-24.88,-19.08,-21.11,347,139,139,-25.7,-19.49,-24.7,292,21,405,-27.7,-20.08,-25.05,47,28,86,-28.57,-20.19,-26.02,299,145,132,-28.88,-23.34,-26.38,5
1.74,1.18,3.28,7.5,6.79,12.79,-1.15,-0.47,-1.3,28,119,28,-2.56,-8.76,3.21,57,57,57,-18.31,-16.05,-15.73,318,22,22,-20.55,-16.52,-20.04,49,133,119,-23.52,-18.49,-23.2,119,145,143,-24.71,-20.07,-23.25,21,28,52,-26.3,-21.29,-23.62,350,26,299,-27.54,-24.31,-24.1,45,52,86,-28.78,-25.49,-24.27,5
1.67,1.12,3.15,7.07,6.51,12.27,-1.1,-0.54,-1.27,28,119,28,-2.86,-9.61,3.09,57,133,57,-15.18,-15.53,-16.49,318,57,118,-22.45,-17.21,-24.86,119,28,299,-24.53,-22.3,-24.93,39,148,23,-28.38,-23.19,-25.14,355,141,148,-28.44,-24.77,-25.42,44,21,133,-28.71,-25.02,-25.55,347,145,357,-28.96,-25.38,-26.39,5
1.77,1.12,3.34,7.8,6.38,12.24,-1.07,-0.34,-1.37,28,119,28,-2.75,-9.87,3.25,57,131,57,-16.52,-15.11,-17.26,318,57,299,-23.38,-17.79,-23.03,47,139,119,-24.91,-20.06,-24.34,40,21,141,-27,-20.85,-24.93,119,30,292,-27,-21.56,-25.39,343,145,131,-27.34,-22.52,-25.56,313,141,86,-27.54,-23.87,-25.82,5
1.7,1.03,3.23,7.14,6.15,11.75,-1.15,-0.6,-1.31,28,119,28,-2.73,-10.18,3.2,57,57,57,-16.66,-17.03,-15.61,318,141,141,-22.91,-17.56,-21.8,347,28,119,-23.81,-19.57,-24.23,119,21,48,-26.14,-22.41,-24.86,292,145,86,-28.81,-22.57,-25.34,141,129,405,-29.48,-24.24,-25.4,261,347,357,-29.52,-24.52,-25.83,5
1.72,1.18,3.24,7.5,5.71,12.86,-1.14,-0.75,-1.29,28,119,28,-2.83,-7.75,2.99,57,57,57,-15.56,-16.11,-17.71,318,22,119,-23.14,-19.4,-20.86,321,140,299,-24.04,-20.67,-22.1,119,135,21,-24.39,-21.53,-22.56,292,131,48,-25.44,-21.78,-24.53,351,28,406,-27.01,-22.77,-24.79,48,86,409,-27.26,-25.19,-25.35,5
1.74,1.03,3.15,7.95,5.24,13.06,-0.99,-0.41,-1.25,28,119,28,-2.72,-10.77,3.1,57,57,57,-17.52,-16.92,-17.39,23,132,299,-22.17,-19.24,-22.07,318,140,23,-22.86,-20.36,-22.7,321,145,140,-24.16,-20.43,-23.25,292,28,400,-24.61,-20.61,-24.83,49,21,408,-25.06,-23.02,-25.64,119,39,87,-25.5,-24.34,-25.73,5
1.68,1.19,3,7.83,6.82,12.17,-1.03,-0.27,-1.26,28,119,28,-3.15,-9.05,2.27,57,139,57,-17.15,-16.47,-16.06,318,129,119,-20.21,-16.87,-22.12,23,57,139,-23.69,-18.23,-22.69,292,141,141,-24.46,-18.25,-22.83,49,26,405,-26.07,-21.11,-23.27,119,21,52,-26.1,-22.72,-23.3,35,318,35,-28.01,-25.5,-24.25,5
1.68,1.05,3.12,7.33,5.36,12.57,-1.12,-0.6,-1.29,28,119,28,-2.99,-9.4,2.99,57,21,57,-15.91,-14.94,-17.17,318,57,119,-22.37,-18.69,-21.98,119,144,406,-25.4,-19.68,-22.49,349,133,38,-25.42,-20.51,-24.06,24,148,299,-25.74,-21.82,-24.47,144,28,86,-27.49,-21.99,-24.76,342,61,35,-27.95,-23.95,-25.25,5
1.73,1.06,3.17,7.34,5.61,11.76,-1.09,-0.65,-1.28,28,119,28,-2.77,-10.53,2.96,57,21,57,-16.12,-17.11,-17.87,318,57,140,-19.93,-18.73,-22.07,347,140,405,-24.87,-19.98,-22.13,292,28,119,-25.38,-20.18,-22.45,119,131,36,-25.63,-20.68,-23.76,22,133,53,-27.16,-20.92,-24.31,324,144,299,-28.42,-21.75,-24.54,5
